PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
200768,Kyle Lowry,1610612755,PHI,39.0,34,648.0,3.1,1.7,1.4,3.5,0.3,0.9,2.3,0.3,0.6,0.8,0.333,0.667,0.1,1.0,1.1,1.1,0.4,0.053,0.947,1.0,0.368
1630283,Kylor Kelley,1610612740,NOP,27.0,10,125.0,17.3,8.9,8.4,0.6,0.0,2.0,4.3,0.0,0.3,0.3,0.0,1.0,0.6,1.2,1.7,1.7,1.4,0.333,0.667,1.0,0.833
202681,Kyrie Irving,1610612742,DAL,33.0,50,1804.0,3.1,1.6,1.5,3.3,0.0,0.5,1.1,0.5,0.4,0.9,0.558,0.442,0.0,0.3,0.3,0.3,0.1,0.0,1.0,1.0,0.313
1642273,Kyshawn George,1610612764,WAS,21.0,68,1802.0,9.3,5.1,4.3,2.8,0.0,0.4,0.9,0.4,0.6,1.0,0.375,0.625,0.0,0.7,0.7,0.7,0.3,0.027,0.973,1.0,0.459
1630163,LaMelo Ball,1610612766,CHA,23.0,47,1505.0,2.6,1.3,1.3,3.3,0.0,0.5,1.1,0.5,0.5,1.0,0.5,0.5,0.0,0.3,0.3,0.3,0.2,0.071,0.929,1.0,0.643
1630205,Lamar Stevens,1610612763,MEM,27.0,12,136.0,8.2,4.5,3.7,2.6,0.0,1.1,2.6,0.5,0.3,0.8,0.667,0.333,0.0,0.8,0.8,0.8,0.8,0.0,1.0,1.0,1.0
1629013,Landry Shamet,1610612752,NYK,28.0,47,750.0,6.5,4.0,2.4,2.5,0.0,0.5,1.2,0.0,0.5,0.6,0.083,0.917,0.0,1.1,1.1,1.1,0.3,0.0,1.0,1.0,0.318
1626204,Larry Nance Jr.,1610612737,ATL,32.0,23,456.0,6.6,3.8,2.8,3.9,0.6,2.2,5.2,0.5,0.2,0.7,0.667,0.333,0.4,2.3,2.7,2.7,1.3,0.147,0.853,1.0,0.471
1628374,Lauri Markkanen,1610612762,UTA,28.0,47,1476.0,5.9,3.9,2.0,1.8,0.0,1.4,3.5,0.5,0.1,0.6,0.76,0.24,0.1,1.1,1.2,1.2,0.6,0.061,0.939,0.98,0.469
2544,LeBron James,1610612747,LAL,40.0,70,2444.0,3.9,1.8,2.1,1.9,0.1,0.9,2.0,0.4,0.3,0.7,0.553,0.447,0.1,0.5,0.6,0.7,0.4,0.182,0.841,1.0,0.622
1631159,Leonard Miller,1610612750,MIN,21.0,6,18.0,8.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0
1631311,Lester Quinones,1610612740,NOP,24.0,9,163.0,2.9,2.2,0.7,2.2,0.2,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.7,0.7,0.7,0.2,0.0,1.0,1.0,0.333
