Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
549,Taze Moore,26,POR,SG,2,0,20,3.6,18.0,.200,1.8,7.2,.250,1.8,10.8,.167,.250,1.8,3.6,.500,7.2,7.2,14.4,1.8,3.6,0.0,3.6,0.0,10.8,,mooreta02
550,Ron Harper Jr.,24,DET,SF,1,0,17,2.1,16.9,.125,0.0,12.7,.000,2.1,4.2,.500,.125,4.2,4.2,1.000,8.5,6.4,14.8,4.2,0.0,0.0,0.0,0.0,8.5,,harpero02
551,Isaiah Mobley,25,PHI,PF,1,0,17,4.2,14.8,.286,2.1,6.4,.333,2.1,8.5,.250,.357,2.1,4.2,.500,2.1,6.4,8.5,10.6,2.1,2.1,0.0,6.4,12.7,,mobleis01
552,Yuri Collins,23,GSW,PG,2,0,16,2.3,6.8,.333,0.0,0.0,,2.3,6.8,.333,.333,0.0,0.0,,4.5,2.3,6.8,9.0,4.5,0.0,0.0,11.3,4.5,,colliyu01
553,Tristen Newton,23,2TM,SG,8,0,16,2.3,18.0,.125,0.0,6.8,.000,2.3,11.3,.200,.125,2.3,2.3,1.000,4.5,4.5,9.0,4.5,2.3,0.0,4.5,9.0,6.8,,newtotr01
553,Tristen Newton,23,IND,SG,5,0,8,4.5,27.0,.167,0.0,13.5,.000,4.5,13.5,.333,.167,4.5,4.5,1.000,0.0,0.0,0.0,4.5,0.0,0.0,4.5,9.0,13.5,,newtotr01
553,Tristen Newton,23,MIN,SG,3,0,8,0.0,9.0,.000,0.0,0.0,,0.0,9.0,.000,.000,0.0,0.0,,9.0,9.0,18.0,4.5,4.5,0.0,4.5,9.0,0.0,,newtotr01
554,Daishen Nix,22,MIN,PG,3,0,13,0.0,2.8,.000,0.0,2.8,.000,0.0,0.0,,.000,2.8,5.5,.500,0.0,11.1,11.1,8.3,0.0,0.0,11.1,2.8,2.8,,nixda01
555,Skal Labissière,28,SAC,PF,4,0,12,6.0,12.0,.500,3.0,3.0,1.000,3.0,9.0,.333,.625,0.0,0.0,,3.0,6.0,9.0,3.0,0.0,0.0,0.0,3.0,15.0,,labissk01
556,Braxton Key,27,GSW,SF,3,0,11,0.0,13.1,.000,0.0,3.3,.000,0.0,9.8,.000,.000,9.8,19.6,.500,3.3,3.3,6.5,0.0,6.5,0.0,3.3,0.0,9.8,,keybr01
557,Cui Yongxi,21,BRK,SG,5,0,10,3.6,25.2,.143,0.0,10.8,.000,3.6,14.4,.250,.143,3.6,7.2,.500,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,10.8,,cuiyo01
558,Mac McClung,26,ORL,SG,2,0,10,0.0,7.2,.000,0.0,3.6,.000,0.0,3.6,.000,.000,0.0,0.0,,0.0,3.6,3.6,10.8,0.0,0.0,0.0,7.2,0.0,,mccluma01
559,Quincy Olivari,23,LAL,PG,2,0,10,3.6,18.0,.200,3.6,18.0,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,3.6,0.0,0.0,3.6,0.0,10.8,,olivaqu01
560,Terence Davis,27,SAC,SG,1,0,8,0.0,9.0,.000,0.0,4.5,.000,0.0,4.5,.000,.000,0.0,0.0,,0.0,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,,daviste02
561,Jalen McDaniels,27,WAS,SF,4,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,5.1,5.1,0.0,0.0,0.0,0.0,,mcdanja01
562,Riley Minix,24,SAS,SF,1,0,7,0.0,5.1,.000,0.0,5.1,.000,0.0,0.0,,.000,0.0,0.0,,0.0,10.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,,minixri01
563,Isaiah Stevens,24,MIA,PG,3,0,6,0.0,12.0,.000,0.0,6.0,.000,0.0,6.0,.000,.000,0.0,0.0,,0.0,12.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,,steveis01
564,Terry Taylor,25,SAC,PF,3,0,6,0.0,6.0,.000,0.0,0.0,,0.0,6.0,.000,.000,0.0,0.0,,6.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,,taylote01
565,Jesse Edwards,24,MIN,C,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,7.2,0.0,0.0,0.0,14.4,0.0,,edwarje01
566,James Wiseman,23,IND,C,1,0,5,14.4,28.8,.500,0.0,7.2,.000,14.4,21.6,.667,.500,14.4,14.4,1.000,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,43.2,,wisemja01
567,Alondes Williams,25,DET,SG,1,0,4,18.0,18.0,1.000,9.0,9.0,1.000,9.0,9.0,1.000,1.250,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,45.0,,willial06
568,Zyon Pullin,23,MEM,SG,3,0,3,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,pullizy01
569,Jahlil Okafor,29,IND,C,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,,okafoja01
