,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
424,Patty Mills,36,UTA,PG,17,0,260,.342,21.8,.250,.026,.105,.039,.079,.750,.474,.500,.625,.333,.333,.298,.444,.824,.000,0,.158,.333,0,0,,millspa02
424,Patty Mills,36,LAC,PG,12,0,61,.500,24.5,.100,.000,.050,.000,.050,.900,.500,,.000,,1.000,.500,1.000,.667,.000,0,.111,1.000,0,0,,millspa02
425,Tre Mann,23,CHO,PG,13,0,319,.435,13.6,.627,.273,.205,.099,.050,.373,.455,.455,.515,.375,.375,.400,.174,.542,.006,1,.217,.385,0,0,,manntr01
426,Jalen Hood-Schifino,21,2TM,SG,15,0,315,.378,16.8,.531,.071,.133,.194,.133,.469,.442,.571,.308,.526,.385,.304,.304,.571,.000,0,.109,.600,0,0,,hoodsja01
426,Jalen Hood-Schifino,21,LAL,SG,2,0,14,1.000,15.6,1.000,.000,.000,1.000,.000,.000,1.000,,,1.000,,,.000,,.000,0,,,0,0,,hoodsja01
426,Jalen Hood-Schifino,21,PHI,SG,13,0,301,.371,18.1,.526,.072,.134,.186,.134,.474,.431,.571,.308,.500,.385,.304,.318,.571,.000,0,.109,.600,0,0,,hoodsja01
427,Torrey Craig,34,2TM,SF,26,4,314,.422,19.5,.267,.167,.067,.022,.011,.733,.583,.667,.333,1.000,.000,.364,.714,.958,.056,4,.424,.286,0,0,,craigto01
427,Torrey Craig,34,CHI,SF,9,1,113,.489,21.1,.222,.111,.067,.022,.022,.778,.700,.800,.667,1.000,.000,.429,.571,.933,.000,0,.343,.333,0,0,,craigto01
427,Torrey Craig,34,BOS,SF,17,3,201,.356,17.8,.311,.222,.067,.022,.000,.689,.500,.600,.000,1.000,,.290,.857,1.000,.111,4,.516,.250,0,0,,craigto01
428,Jordan McLaughlin,28,2TM,PG,46,0,314,.431,19.5,.361,.097,.139,.083,.042,.639,.462,.571,.400,.333,.667,.413,.417,.684,.000,0,.283,.231,1,0,,mclaujo01
428,Jordan McLaughlin,28,SAC,PG,28,0,190,.364,18.8,.409,.114,.159,.091,.045,.591,.333,.400,.286,.250,.500,.385,.500,.500,.000,0,.385,.200,1,0,,mclaujo01
428,Jordan McLaughlin,28,SAS,PG,18,0,124,.536,20.2,.286,.071,.107,.071,.036,.714,.750,1.000,.667,.500,1.000,.450,.333,.889,.000,0,.150,.333,0,0,,mclaujo01
429,Matisse Thybulle,27,POR,SG,15,5,312,.477,15.6,.455,.148,.295,.011,.000,.545,.525,.769,.423,.000,,.438,.571,1.000,.091,7,.458,.364,0,0,,thybuma01
430,Isaac Jones,24,SAC,PF,40,0,304,.651,5.2,.904,.470,.422,.012,.000,.096,.680,.744,.629,.000,,.375,.765,1.000,.349,27,.750,.500,0,0,,jonesis01
431,Tyler Kolek,23,NYK,PG,41,0,296,.329,17.2,.427,.159,.195,.061,.012,.573,.371,.462,.250,.400,1.000,.298,.231,1.000,.000,0,.234,.364,1,0,,kolekty01
432,Mitchell Robinson,26,NYK,C,17,3,290,.661,1.1,1.000,.893,.107,.000,.000,.000,.661,.720,.167,,,,.378,,.411,20,,,0,0,,robinmi01
433,Josh Minott,22,MIN,SF,46,0,276,.489,12.9,.522,.422,.089,.011,.000,.478,.638,.658,.625,.000,,.326,.700,1.000,.178,15,.605,.346,0,0,,minotjo01
434,Kobe Brown,25,LAC,PF,40,0,272,.458,11.6,.639,.319,.264,.056,.000,.361,.587,.739,.526,.000,,.231,.556,1.000,.097,6,.231,.500,0,0,,brownko01
435,Dru Smith,27,MIA,SG,14,1,268,.508,14.6,.508,.230,.230,.049,.000,.492,.484,.714,.357,.000,,.533,.400,.875,.000,0,.367,.636,0,0,,smithdr01
436,Isaiah Wong,24,CHO,SG,20,0,265,.390,14.0,.686,.162,.248,.219,.057,.314,.389,.412,.385,.391,.333,.394,.393,.769,.019,2,.121,.250,1,0,,wongis01
437,Marvin Bagley III,25,2TM,PF,31,2,265,.519,7.8,.821,.500,.264,.057,.000,.179,.598,.736,.393,.333,,.158,.538,1.000,.208,21,.316,.167,0,0,,baglema01
437,Marvin Bagley III,25,WAS,C,19,1,166,.535,7.2,.859,.479,.310,.070,.000,.141,.590,.765,.409,.200,,.200,.472,1.000,.211,14,.200,.000,0,0,,baglema01
437,Marvin Bagley III,25,MEM,PF,12,1,99,.486,8.3,.743,.543,.171,.029,.000,.257,.615,.684,.333,1.000,,.111,.688,1.000,.200,7,.444,.250,0,0,,baglema01
438,Oscar Tshiebwe,25,UTA,C,14,1,255,.600,4.6,1.000,.300,.629,.071,.000,.000,.600,.810,.545,.200,,,.595,,.114,6,,,0,0,,tshieos01
439,Drew Timme,24,BRK,PF,9,2,254,.441,12.4,.657,.284,.255,.108,.010,.343,.537,.690,.346,.545,1.000,.257,.694,1.000,.029,3,.171,.333,1,0,,timmedr01
440,Marcus Bagley,23,PHI,SF,10,4,253,.391,13.4,.536,.391,.087,.043,.014,.464,.595,.704,.333,.333,.000,.156,.545,.800,.159,10,.406,.308,0,0,,baglema02
441,Cam Spencer,24,MEM,SG,25,1,252,.415,19.0,.366,.098,.134,.098,.037,.634,.500,.625,.545,.500,.000,.365,.867,.947,.000,0,.115,.333,0,0,,spencca01
442,Kevin Love,36,MIA,PF,23,9,251,.357,17.3,.417,.191,.157,.043,.026,.583,.354,.318,.389,.400,.333,.358,.471,.917,.000,0,.209,.357,1,0,,loveke01
443,Pat Spencer,28,GSW,PG,39,0,250,.406,10.3,.782,.139,.525,.099,.020,.218,.456,.286,.491,.500,.500,.227,.556,1.000,.040,3,.136,.333,0,0,,spencpa01
444,JT Thor,22,2TM,PF,20,0,249,.424,14.0,.644,.237,.203,.153,.051,.356,.500,.714,.417,.333,.333,.286,.632,1.000,.102,5,.476,.100,0,0,,thorjt01
444,JT Thor,22,CLE,PF,9,0,42,.600,15.8,.600,.133,.133,.200,.133,.400,.667,1.000,.500,.667,.500,.500,.833,1.000,.067,1,.500,.333,0,0,,thorjt01
444,JT Thor,22,WAS,PF,11,0,207,.364,12.2,.659,.273,.227,.136,.023,.341,.448,.667,.400,.167,.000,.200,.538,1.000,.114,4,.467,.000,0,0,,thorjt01
445,Branden Carlson,25,OKC,C,32,0,246,.443,18.3,.320,.186,.124,.000,.010,.680,.677,.778,.583,,.000,.333,.524,1.000,.124,10,.273,.333,0,0,,carlsbr01
446,Dariq Whitehead,20,BRK,SF,20,0,246,.406,21.3,.229,.063,.125,.010,.031,.771,.273,.333,.333,.000,.000,.446,.500,.970,.010,1,.270,.450,0,0,,whiteda01
447,Johnny Davis,22,WAS,SG,34,0,242,.410,12.8,.628,.295,.218,.090,.026,.372,.510,.652,.412,.286,.500,.241,.680,1.000,.103,6,.345,.200,0,0,,davisjo06
448,Jaylen Martin,21,2TM,SF,16,0,239,.419,13.0,.689,.230,.351,.095,.014,.311,.471,.765,.385,.143,.000,.304,.667,1.000,.068,4,.304,.143,0,0,,martija02
448,Jaylen Martin,21,BRK,SF,3,0,5,.500,14.6,.500,.000,.500,.000,.000,.500,.000,,.000,,,1.000,,1.000,.000,0,1.000,1.000,0,0,,martija02
448,Jaylen Martin,21,WAS,SF,13,0,234,.417,11.4,.694,.236,.347,.097,.014,.306,.480,.765,.400,.143,.000,.273,.667,1.000,.069,4,.273,.000,0,0,,martija02
449,Bones Hyland,24,2TM,PG,24,0,239,.398,22.4,.305,.085,.085,.051,.085,.695,.417,.700,.300,.167,.400,.390,.400,.438,.017,2,.098,.500,1,0,,hylanbo01
449,Bones Hyland,24,LAC,PG,20,0,222,.391,21.2,.304,.087,.087,.052,.078,.696,.400,.700,.300,.167,.333,.388,.429,.452,.017,2,.100,.500,1,0,,hylanbo01
449,Bones Hyland,24,MIN,PG,4,0,17,.667,23.6,.333,.000,.000,.000,.333,.667,1.000,,,,1.000,.500,.000,.000,.000,0,.000,,0,0,,hylanbo01
450,Xavier Tillman Sr.,26,BOS,C,33,2,231,.245,17.2,.396,.094,.264,.038,.000,.604,.381,.800,.214,.500,,.156,.375,1.000,.000,0,.344,.091,0,0,,tillmxa01
451,Garrett Temple,38,TOR,SG,28,0,227,.300,15.3,.533,.267,.100,.100,.067,.467,.375,.563,.333,.000,.250,.214,.583,1.000,.017,0,.321,.222,0,0,,templga01
452,Jared Rhoden,25,2TM,SG,14,2,227,.483,12.2,.552,.425,.080,.023,.023,.448,.625,.730,.429,.000,.000,.308,.700,.750,.103,9,.462,.444,0,0,,rhodeja01
452,Jared Rhoden,25,CHO,SG,4,0,12,.250,11.5,.750,.375,.125,.125,.125,.250,.333,.333,1.000,.000,.000,.000,.000,,.000,0,.500,.000,0,0,,rhodeja01
452,Jared Rhoden,25,TOR,SG,10,2,215,.506,12.9,.532,.430,.076,.013,.013,.468,.667,.765,.333,.000,.000,.324,.750,.750,.114,9,.459,.471,0,0,,rhodeja01
453,Luka Garza,26,MIN,C,39,0,219,.495,11.8,.657,.286,.267,.105,.000,.343,.609,.700,.607,.364,,.278,.714,1.000,.048,5,.083,.000,0,0,,garzalu01
454,Ariel Hukporti,22,NYK,C,25,1,217,.677,3.4,1.000,.645,.258,.097,.000,.000,.677,.750,.500,.667,,,.952,,.323,10,,,0,0,,hukpoar01
455,Alex Reese,25,2TM,PF,15,0,216,.481,10.3,.241,.130,.093,.000,.019,.759,.846,1.000,.600,,1.000,.366,.636,1.000,.037,2,.366,.200,1,0,,reeseal01
455,Alex Reese,25,OKC,PF,1,0,2,1.000,0.0,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,.000,,.000,0,,,0,0,,reeseal01
455,Alex Reese,25,PHI,PF,14,0,214,.472,20.7,.226,.113,.094,.000,.019,.774,.833,1.000,.600,,1.000,.366,.700,1.000,.038,2,.366,.200,1,0,,reeseal01
456,Dario Šarić,30,DEN,C,16,4,210,.362,14.1,.552,.224,.276,.017,.034,.448,.438,.615,.313,.000,.500,.269,.714,1.000,.000,0,.154,.500,0,0,,saricda01
457,Adam Flagler,25,OKC,SG,37,0,203,.260,21.7,.250,.063,.063,.063,.063,.750,.458,.667,.167,.833,.167,.194,.545,.857,.000,0,.125,.000,0,0,,flaglad01
458,Chuma Okeke,26,2TM,PF,9,3,196,.500,19.2,.300,.300,.000,.000,.000,.700,.750,.750,,,,.393,.444,1.000,.125,3,.429,.500,0,0,,okekech01
458,Chuma Okeke,26,PHI,PF,7,3,171,.545,16.8,.333,.333,.000,.000,.000,.667,.727,.727,,,,.455,.375,1.000,.121,2,.409,.556,0,0,,okekech01
458,Chuma Okeke,26,CLE,PF,2,0,25,.286,21.5,.143,.143,.000,.000,.000,.857,1.000,1.000,,,,.167,1.000,1.000,.143,1,.500,.333,0,0,,okekech01
459,Drew Peterson,25,BOS,PF,25,1,186,.415,21.4,.195,.098,.073,.000,.024,.805,.500,.250,.667,,1.000,.394,.250,.923,.000,0,.273,.333,0,0,,peterdr01
460,Markelle Fultz,26,SAC,PG,21,0,184,.418,12.4,.881,.075,.299,.358,.149,.119,.407,.800,.250,.583,.100,.500,.500,1.000,.045,2,.625,.400,0,0,,fultzma01
461,Lester Quiñones,24,2TM,SG,13,0,183,.397,15.0,.436,.218,.154,.038,.026,.564,.529,.765,.417,.000,.000,.295,.444,.923,.000,0,.159,.286,0,0,,quinole01
461,Lester Quiñones,24,PHI,SG,4,0,17,.500,12.0,.625,.500,.000,.125,.000,.375,.800,1.000,,.000,,.000,.250,,.000,0,.000,,0,0,,quinole01
461,Lester Quiñones,24,NOP,SG,9,0,166,.386,18.1,.414,.186,.171,.029,.029,.586,.483,.692,.417,.000,.000,.317,.500,.923,.000,0,.171,.286,0,0,,quinole01
462,Bronny James,20,LAL,SG,27,1,181,.313,16.6,.522,.090,.239,.149,.045,.478,.343,.667,.313,.200,.333,.281,.500,.778,.015,1,.250,.250,0,0,,jamesbr02
463,Enrique Freeman,24,IND,PF,22,1,181,.432,8.4,.730,.514,.216,.000,.000,.270,.556,.632,.375,,,.100,.800,1.000,.108,3,.800,.125,0,0,,freemen01
464,Cole Swider,25,2TM,SF,10,0,169,.349,23.2,.254,.063,.048,.048,.095,.746,.438,.250,.333,.667,.500,.319,.714,1.000,.000,0,.404,.316,0,0,,swideco01
464,Cole Swider,25,DET,SF,2,0,13,.000,25.4,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.200,.000,0,0,,swideco01
464,Cole Swider,25,TOR,SF,8,0,156,.379,20.9,.276,.069,.052,.052,.103,.724,.438,.250,.333,.667,.500,.357,.714,1.000,.000,0,.429,.333,0,0,,swideco01
465,Jaylen Nowell,25,NOP,SG,8,0,168,.356,14.5,.630,.110,.315,.164,.041,.370,.391,.500,.348,.500,.000,.296,.278,1.000,.000,0,.222,.500,0,0,,nowelja01
466,Markieff Morris,35,2TM,PF,15,2,165,.300,19.9,.486,.071,.071,.243,.100,.514,.353,.200,.400,.353,.429,.250,.667,1.000,.000,0,.306,.091,1,0,,morrima02
466,Markieff Morris,35,DAL,PF,7,0,41,.227,22.6,.409,.045,.000,.227,.136,.591,.333,.000,,.400,.333,.154,.667,1.000,.000,0,.154,.000,1,0,,morrima02
466,Markieff Morris,35,LAL,PF,8,2,124,.333,17.2,.521,.083,.104,.250,.083,.479,.360,.250,.400,.333,.500,.304,.667,1.000,.000,0,.391,.111,0,0,,morrima02
467,Killian Hayes,23,BRK,PG,6,5,162,.419,16.2,.512,.140,.186,.163,.023,.488,.455,.667,.375,.429,.000,.381,.400,1.000,.000,0,.143,.333,0,0,,hayeski01
468,MarJon Beauchamp,24,3TM,SF,35,0,156,.415,16.0,.554,.215,.138,.031,.169,.446,.472,.786,.222,.500,.273,.345,.294,.700,.046,2,.345,.300,0,0,,beaucma01
468,MarJon Beauchamp,24,MIL,SF,26,0,122,.383,16.5,.553,.170,.170,.043,.170,.447,.423,.750,.250,.500,.250,.333,.182,.857,.043,1,.476,.300,0,0,,beaucma01
468,MarJon Beauchamp,24,LAC,SF,3,0,17,.571,16.7,.571,.286,.000,.000,.286,.429,.500,.500,,,.500,.667,.500,.500,.000,0,.000,,0,0,,beaucma01
468,MarJon Beauchamp,24,NYK,SF,6,0,17,.455,14.7,.545,.364,.091,.000,.091,.455,.667,1.000,.000,,.000,.200,.500,.000,.091,1,.000,,0,0,,beaucma01
469,Lamar Stevens,27,MEM,PF,17,1,155,.460,14.4,.571,.270,.222,.079,.000,.429,.583,.588,.500,.800,,.296,.524,.875,.063,3,.370,.200,1,0,,stevela01
470,Tyson Etienne,25,BRK,PG,7,0,151,.327,21.9,.154,.096,.058,.000,.000,.846,.500,.400,.667,,,.295,1.000,1.000,.000,0,.318,.429,0,0,,etienty01
471,Josh Richardson,31,MIA,SG,8,0,150,.289,18.5,.421,.105,.184,.026,.105,.579,.313,.500,.286,.000,.250,.273,1.000,1.000,.000,0,.227,.200,0,0,,richajo01
472,Jeenathan Williams,25,HOU,SG,20,0,147,.435,13.5,.581,.113,.435,.032,.000,.419,.583,.714,.556,.500,,.231,.619,1.000,.016,1,.500,.231,0,0,,willije02
473,Bruno Fernando,26,TOR,C,17,2,147,.531,4.1,1.000,.592,.327,.041,.041,.000,.531,.655,.438,.000,.000,,.654,,.143,7,,,0,0,,fernabr01
474,Damion Lee,32,PHO,SG,25,0,144,.365,17.0,.500,.081,.230,.149,.041,.500,.486,.833,.353,.636,.000,.243,.667,.889,.000,0,.351,.308,0,0,,leeda03
475,Oshae Brissett,26,PHI,SF,6,2,142,.487,13.2,.538,.333,.205,.000,.000,.462,.619,.692,.500,,,.333,.615,.667,.026,1,.333,.333,0,0,,brissos01
476,Elijah Harkless,24,UTA,SG,10,0,138,.314,19.6,.286,.114,.114,.057,.000,.714,.400,.750,.250,.000,,.280,.750,.857,.000,0,.320,.375,0,0,,harklej01
477,Pete Nance,24,2TM,C,13,1,138,.438,23.2,.250,.125,.063,.000,.063,.750,.625,1.000,.000,,.500,.375,.800,1.000,.063,2,.083,.500,1,0,,nancepe01
477,Pete Nance,24,PHI,C,7,0,68,.333,25.5,.200,.067,.133,.000,.000,.800,.333,1.000,.000,,,.333,1.000,1.000,.067,1,.083,1.000,1,0,,nancepe01
477,Pete Nance,24,MIL,PF,6,1,70,.529,20.9,.294,.176,.000,.000,.118,.706,.800,1.000,,,.500,.417,.750,1.000,.059,1,.083,.000,0,0,,nancepe01
478,Vlatko Čančar,27,DEN,PF,13,0,136,.385,16.4,.423,.231,.192,.000,.000,.577,.545,.333,.800,,,.267,.667,1.000,.077,2,.267,.500,0,0,,cancavl01
479,Kylor Kelley,27,2TM,C,11,2,126,.636,3.8,1.000,.500,.364,.136,.000,.000,.636,.818,.375,.667,,,.857,,.227,5,,,0,0,,kelleky01
479,Kylor Kelley,27,DAL,C,8,1,67,.769,2.9,1.000,.615,.308,.077,.000,.000,.769,.750,.750,1.000,,,.800,,.231,3,,,0,0,,kelleky01
479,Kylor Kelley,27,NOP,C,3,1,59,.444,4.7,1.000,.333,.444,.222,.000,.000,.444,1.000,.000,.500,,,1.000,,.222,2,,,0,0,,kelleky01
480,Alex Ducas,24,OKC,SG,21,0,125,.400,19.7,.300,.133,.067,.033,.067,.700,.222,.250,.000,.000,.500,.476,1.000,1.000,.000,0,.429,.556,0,0,,ducasal01
481,Spencer Jones,23,DEN,SF,20,0,125,.324,15.3,.500,.176,.176,.118,.029,.500,.588,.500,.833,.250,1.000,.059,.900,1.000,.029,1,.588,.000,0,0,,jonessp01
482,Kobe Bufkin,21,ATL,SG,10,0,124,.383,14.2,.596,.255,.191,.106,.043,.404,.500,.417,.778,.200,.500,.211,.429,1.000,.000,0,.316,.167,1,0,,bufkiko01
483,Tyler Smith,20,MIL,PF,23,0,122,.480,17.2,.400,.220,.100,.040,.040,.600,.550,.636,.600,.000,.500,.433,.818,.923,.080,4,.300,.333,0,0,,smithty02
484,De'Anthony Melton,26,GSW,SG,6,2,121,.407,18.2,.352,.130,.185,.037,.000,.648,.474,.286,.700,.000,,.371,.444,.923,.037,2,.114,.750,0,0,,meltode01
485,Moses Brown,25,2TM,C,13,2,119,.694,3.2,1.000,.612,.347,.041,.000,.000,.694,.933,.353,.000,,,.647,,.286,14,,,0,0,,brownmo01
485,Moses Brown,25,IND,C,9,0,46,.650,3.3,1.000,.650,.250,.100,.000,.000,.650,.846,.400,.000,,,.615,,.300,6,,,0,0,,brownmo01
485,Moses Brown,25,DAL,C,4,2,73,.724,3.0,1.000,.586,.414,.000,.000,.000,.724,1.000,.333,,,,.667,,.276,8,,,0,0,,brownmo01
486,TyTy Washington Jr.,23,PHO,PG,16,0,118,.311,17.4,.533,.022,.200,.289,.022,.467,.417,1.000,.444,.385,.000,.190,.700,.750,.000,0,.333,.143,0,0,,washity02
487,Trey Alexander,21,DEN,SG,24,0,117,.317,16.8,.585,.073,.195,.171,.146,.415,.417,.333,.375,.571,.333,.176,.600,1.000,.000,0,.235,.500,0,0,,alexatr01
488,Joe Ingles,37,MIN,SF,19,1,114,.261,19.4,.348,.043,.217,.043,.043,.652,.375,.000,.400,1.000,.000,.200,1.000,1.000,.000,0,.133,.000,0,0,,inglejo01
489,Sidy Cissoko,20,2TM,SF,22,0,114,.433,13.7,.567,.267,.267,.000,.033,.433,.588,.750,.500,,.000,.231,.700,1.000,.167,4,.385,.400,0,0,,cissosi01
489,Sidy Cissoko,20,SAS,SF,17,0,54,.500,12.6,.611,.333,.222,.000,.056,.389,.545,.833,.250,,.000,.429,.833,1.000,.167,3,.286,1.000,0,0,,cissosi01
489,Sidy Cissoko,20,POR,SF,5,0,60,.333,14.7,.500,.167,.333,.000,.000,.500,.667,.500,.750,,,.000,.500,,.167,1,.500,.000,0,0,,cissosi01
490,Tony Bradley,27,IND,C,14,0,113,.644,4.3,.933,.556,.356,.000,.022,.067,.667,.680,.625,,1.000,.333,.750,1.000,.089,4,.667,.000,0,0,,bradlto01
491,Jaylen Sims,26,CHO,SG,6,0,112,.429,16.4,.464,.143,.286,.036,.000,.536,.462,1.000,.250,.000,,.400,.667,.833,.036,1,.200,.333,0,0,,simsja01
492,Pacome Dadiet,19,NYK,SG,18,0,111,.323,18.4,.387,.129,.097,.032,.129,.613,.333,.500,.000,.000,.500,.316,1.000,1.000,.000,0,.421,.125,0,0,,dadiepa01
493,Patrick Baldwin Jr.,22,2TM,SF,24,0,107,.543,21.2,.343,.229,.114,.000,.000,.657,.500,.625,.250,,,.565,.833,1.000,.114,4,.174,.750,0,0,,baldwpa01
493,Patrick Baldwin Jr.,22,WAS,SF,22,0,101,.515,17.6,.364,.242,.121,.000,.000,.636,.500,.625,.250,,,.524,.833,1.000,.121,4,.190,.750,0,0,,baldwpa01
493,Patrick Baldwin Jr.,22,LAC,SF,2,0,6,1.000,24.8,.000,.000,.000,.000,.000,1.000,,,,,,1.000,,1.000,.000,0,.000,,0,0,,baldwpa01
494,Chris Livingston,21,MIL,SF,21,1,106,.333,9.2,.704,.519,.185,.000,.000,.296,.474,.571,.200,,,.000,.556,,.111,3,.375,.000,0,0,,livinch01
495,Jae Crowder,34,SAC,PF,9,2,103,.318,20.6,.318,.000,.136,.091,.091,.682,.429,,.333,.500,.500,.267,.667,1.000,.000,0,.533,.250,0,0,,crowdja01
496,Justin Minaya,25,POR,SF,19,0,101,.381,14.0,.524,.190,.333,.000,.000,.476,.545,.500,.571,,,.200,.500,1.000,.000,0,.300,.333,0,0,,minayju01
497,Keshad Johnson,23,MIA,SF,16,0,98,.692,8.3,.731,.577,.154,.000,.000,.269,.789,.933,.250,,,.429,.600,1.000,.231,6,.143,.000,0,0,,johnske10
498,Yuki Kawamura,23,MEM,PG,22,0,93,.367,22.4,.233,.067,.000,.133,.033,.767,.571,.500,,.500,1.000,.304,.500,.429,.000,0,.130,.333,0,0,,kawamyu01
499,JD Davison,22,BOS,PG,16,0,93,.353,17.8,.471,.176,.088,.176,.029,.529,.500,.667,.667,.333,.000,.222,.250,.750,.059,2,.167,.333,0,0,,davisjd01
500,Luke Travers,23,CLE,SG,12,0,88,.250,11.7,.550,.550,.000,.000,.000,.450,.455,.455,,,,.000,.800,,.200,3,.444,.000,0,0,,travelu01
501,Stanley Umude,25,MIL,SG,22,0,86,.192,17.7,.423,.115,.154,.154,.000,.577,.182,.667,.000,.000,,.200,.500,1.000,.038,1,.600,.222,0,0,,umudest01
502,Kevin Knox,25,GSW,SF,14,0,84,.500,13.4,.583,.194,.306,.056,.028,.417,.667,.714,.727,.000,1.000,.267,.643,1.000,.111,4,.400,.167,0,0,,knoxke01
503,Isaiah Jackson,23,IND,C,5,1,84,.609,1.9,1.000,.783,.217,.000,.000,.000,.609,.611,.600,,,,.857,,.304,6,,,0,0,,jacksis01
504,Marcus Garrett,26,CHO,SG,4,0,79,.407,12.4,.704,.111,.407,.185,.000,.296,.421,.667,.455,.200,,.375,.250,1.000,.000,0,.375,.333,0,0,,garrema01
505,Jacob Toppin,24,2TM,SF,17,0,76,.409,12.7,.545,.318,.136,.091,.000,.455,.333,.286,.333,.500,,.500,.500,1.000,.045,1,.600,.667,0,0,,toppija01
505,Jacob Toppin,24,NYK,SF,16,0,49,.300,7.3,.800,.500,.200,.100,.000,.200,.375,.400,.000,1.000,,.000,.333,,.100,1,.000,,0,0,,toppija01
505,Jacob Toppin,24,ATL,SF,1,0,27,.500,18.0,.333,.167,.083,.083,.000,.667,.250,.000,1.000,.000,,.625,1.000,1.000,.000,0,.750,.667,0,0,,toppija01
506,Emoni Bates,21,CLE,SF,10,0,75,.342,23.4,.211,.105,.000,.053,.053,.789,.250,.500,,.000,.000,.367,.000,.909,.000,0,.100,.667,0,0,,batesem01
507,Taylor Hendricks,21,UTA,PF,3,3,75,.222,18.8,.333,.056,.167,.111,.000,.667,.167,.000,.333,.000,,.250,1.000,1.000,.056,1,.583,.429,0,0,,hendrta01
508,Chris Duarte,27,CHI,SG,17,0,74,.462,16.1,.423,.269,.154,.000,.000,.577,.545,.571,.500,,,.400,.667,.667,.000,0,.067,1.000,0,0,,duartch01
509,Daeqwon Plowden,26,ATL,SG,6,0,72,.640,17.0,.320,.280,.040,.000,.000,.680,.875,.857,1.000,,,.529,.857,1.000,.120,3,.353,.333,0,0,,plowdda01
510,RayJ Dennis,23,IND,PG,11,0,70,.333,20.9,.364,.061,.152,.091,.061,.636,.417,1.000,.200,.000,1.000,.286,.200,.667,.000,0,.143,.000,1,0,,dennira01
511,Josh Christopher,23,MIA,SG,14,0,69,.355,11.5,.645,.419,.161,.065,.000,.355,.450,.538,.200,.500,,.182,.556,1.000,.097,2,.182,.000,0,0,,chrisjo01
512,Matt Ryan,27,NYK,SF,19,0,68,.323,18.6,.387,.097,.129,.097,.065,.613,.333,1.000,.250,.000,.000,.316,1.000,1.000,.000,0,.421,.250,0,0,,ryanma01
513,Armel Traoré,22,LAL,SF,9,0,67,.316,10.3,.632,.474,.158,.000,.000,.368,.500,.556,.333,,,.000,.833,,.105,2,.714,.000,0,0,,armeltr01
514,PJ Hall,22,DEN,C,19,0,66,.583,11.3,.667,.375,.208,.083,.000,.333,.750,.778,.600,1.000,,.250,.833,1.000,.208,5,.000,,0,0,,hallpj01
515,Nae'Qwan Tomlin,24,CLE,PF,5,1,63,.406,10.2,.688,.469,.125,.094,.000,.313,.500,.600,.250,.333,,.200,.455,1.000,.094,2,.000,,0,0,,tomlina01
516,Jamaree Bouyea,25,MIL,PG,5,1,62,.500,14.2,.583,.333,.167,.083,.000,.417,.714,.750,.500,1.000,,.200,.400,.000,.000,0,.000,,0,0,,bouyeja01
517,Cam Christie,19,LAC,SG,13,0,59,.292,15.9,.458,.292,.125,.000,.042,.542,.455,.429,.667,,.000,.154,.600,1.000,.083,1,.154,.000,0,0,,chrisca02
518,P.J. Tucker,39,NYK,SF,3,1,58,.429,23.9,.143,.000,.000,.143,.000,.857,.000,,,.000,,.500,,1.000,.000,0,.833,.600,0,0,,tuckepj01
519,Jazian Gortman,21,DAL,PG,16,0,57,.391,16.4,.522,.087,.217,.174,.043,.478,.417,1.000,.200,.250,1.000,.364,.200,.750,.000,0,.455,.400,0,0,,gortmja01
520,Liam Robbins,25,MIL,C,13,0,57,.250,9.0,.750,.500,.125,.125,.000,.250,.333,.250,1.000,.000,,.000,1.000,,.250,1,.000,,0,0,,robbili01
521,E.J. Liddell,24,CHI,PF,12,0,53,.533,20.3,.333,.133,.133,.067,.000,.667,1.000,1.000,1.000,1.000,,.300,.600,1.000,.000,0,.000,,0,0,,liddeej01
522,Jackson Rowe,28,GSW,PF,6,0,52,.471,16.5,.412,.176,.235,.000,.000,.588,.714,1.000,.500,,,.300,1.000,1.000,.000,0,.300,.333,0,0,,roweja01
523,N'Faly Dante,23,HOU,C,4,0,51,.769,3.7,1.000,.538,.385,.000,.077,.000,.769,.857,.800,,.000,,.600,,.462,6,,,0,0,,nfalyda01
524,Isaiah Crawford,23,SAC,SF,15,0,46,.455,15.1,.545,.182,.182,.182,.000,.455,.667,.500,1.000,.500,,.200,.750,1.000,.000,0,.200,1.000,0,0,,crawfis01
525,Mason Jones,26,SAC,SG,10,0,45,.500,15.1,.556,.167,.278,.111,.000,.444,.800,1.000,.600,1.000,,.125,.500,1.000,.000,0,.125,.000,0,0,,jonesma05
