Player,Team,G,MP,Fouls Committed_Shoot,shooting_fouls_per_36
Olivier-Maxence Prosper,DAL,52,584,14,0.863
Jarred Vanderbilt,LAL,36,581,25,1.549
Joel Embiid,PHI,19,574,21,1.317
Monte Morris,PHO,45,571,10,0.63
Moritz Wagner,ORL,30,564,22,1.404
Malcolm Brogdon,WAS,24,564,10,0.638
John Konchar,MEM,46,558,21,1.355
Dwight Powell,DAL,55,551,45,2.94
Dillon Jones,OKC,54,551,31,2.025
Jordan Goodwin,LAL,29,543,26,1.724
Richaun Holmes,WAS,31,534,30,2.022
Mouhamed Gueye,ATL,33,533,35,2.364
Bismack Biyombo,SAS,28,528,31,2.114
Jaylen Clark,MIN,40,522,35,2.414
Rob Dillingham,MIN,49,516,20,1.395
Colby Jones,2TM,39,515,18,1.258
Colby Jones,SAC,24,130,6,1.662
Colby Jones,WAS,15,385,12,1.122
Craig Porter Jr.,CLE,51,513,16,1.123
Tristan Vukcevic,WAS,35,513,35,2.456
Elfrid Payton,2TM,24,511,19,1.339
Elfrid Payton,NOP,18,388,14,1.299
Elfrid Payton,CHO,6,123,5,1.463
Jamal Cain,NOP,37,502,23,1.649
Keaton Wallace,ATL,31,501,25,1.796
Jock Landale,HOU,42,500,32,2.304
Vince Williams Jr.,MEM,27,499,24,1.731
Wendell Moore Jr.,2TM,36,499,17,1.226
Wendell Moore Jr.,DET,20,219,6,0.986
Wendell Moore Jr.,CHO,16,280,11,1.414
Brandon Williams,DAL,33,487,23,1.7
A.J. Lawson,TOR,26,486,14,1.037
Grant Williams,CHO,16,479,24,1.804
Lonnie Walker IV,PHI,20,477,20,1.509
Duop Reath,POR,46,469,28,2.149
Reece Beekman,2TM,36,469,21,1.612
Reece Beekman,GSW,2,4,1,9.0
Reece Beekman,BRK,34,465,20,1.548
Kai Jones,2TM,40,468,34,2.615
Kai Jones,LAC,28,208,15,2.596
Kai Jones,DAL,12,260,19,2.631
Larry Nance Jr.,ATL,24,463,14,1.089
Collin Gillespie,PHO,33,461,15,1.171
Rayan Rupert,POR,52,460,18,1.409
GG Jackson II,MEM,29,459,15,1.176
Jaylon Tyson,CLE,47,453,21,1.669
Bol Bol,PHO,36,448,15,1.205
Paul Reed,DET,45,438,39,3.205
Colin Castleton,3TM,26,432,39,3.25
Colin Castleton,MEM,10,46,5,3.913
Colin Castleton,TOR,11,288,23,2.875
Colin Castleton,PHI,5,98,11,4.041
Trevelin Queen,ORL,31,430,21,1.758
Malaki Branham,SAS,47,427,15,1.265
Jordan Miller,LAC,37,420,14,1.2
Mo Bamba,2TM,32,413,34,2.964
Mo Bamba,LAC,28,352,29,2.966
Mo Bamba,NOP,4,61,5,2.951
David Roddy,3TM,33,410,15,1.317
David Roddy,ATL,27,346,14,1.457
David Roddy,PHI,3,29,0,0.0
David Roddy,HOU,3,35,1,1.029
Taj Gibson,CHO,37,409,31,2.729
Ousmane Dieng,OKC,37,405,22,1.956
Jordan Walsh,BOS,52,403,14,1.251
Hunter Tyson,DEN,51,400,29,2.61
Anthony Gill,WAS,51,397,21,1.904
Devin Carter,SAC,36,396,20,1.818
Jeff Green,HOU,32,396,25,2.273
Trey Jemison,2TM,38,392,34,3.122
Trey Jemison,NOP,16,166,11,2.386
Trey Jemison,LAL,22,226,23,3.664
Reggie Jackson,PHI,31,384,10,0.938
Baylor Scheierman,BOS,31,384,12,1.125
Quenton Jackson,IND,28,381,21,1.984
Alex Len,2TM,46,380,32,3.032
Alex Len,SAC,36,258,17,2.372
Alex Len,LAL,10,122,15,4.426
Johnny Furphy,IND,50,379,21,1.995
Charles Bassey,SAS,36,376,34,3.255
Dominick Barlow,ATL,35,375,36,3.456
Dante Exum,DAL,20,372,27,2.613
Damion Baugh,CHO,15,370,8,0.778
Jaden Springer,2TM,43,365,16,1.578
Jaden Springer,BOS,26,141,6,1.532
Jaden Springer,UTA,17,224,10,1.607
Robert Williams,POR,20,351,23,2.359
Doug McDermott,SAC,42,342,15,1.579
Christian Koloko,LAL,37,342,35,3.684
Terrence Shannon Jr.,MIN,32,339,17,1.805
Keion Brooks Jr.,NOP,14,332,18,1.952
Tristan Thompson,CLE,40,328,12,1.317
Maxwell Lewis,2TM,28,327,19,2.092
Maxwell Lewis,LAL,7,29,1,1.241
Maxwell Lewis,BRK,21,298,18,2.174
Jevon Carter,CHI,36,321,8,0.897
Patty Mills,2TM,29,321,12,1.346
Patty Mills,UTA,17,260,7,0.969
Patty Mills,LAC,12,61,5,2.951
Tre Mann,CHO,13,319,13,1.467
Jalen Hood-Schifino,2TM,15,315,17,1.943
Jalen Hood-Schifino,LAL,2,14,2,5.143
Jalen Hood-Schifino,PHI,13,301,15,1.794
Torrey Craig,2TM,26,314,19,2.178
Torrey Craig,CHI,9,113,9,2.867
Torrey Craig,BOS,17,201,10,1.791
Jordan McLaughlin,2TM,46,314,12,1.376
Jordan McLaughlin,SAC,28,190,8,1.516
Jordan McLaughlin,SAS,18,124,4,1.161
Matisse Thybulle,POR,15,312,5,0.577
Isaac Jones,SAC,40,304,19,2.25
Tyler Kolek,NYK,41,296,16,1.946
Mitchell Robinson,NYK,17,290,19,2.359
Josh Minott,MIN,46,276,18,2.348
Kobe Brown,LAC,40,272,13,1.721
Dru Smith,MIA,14,268,17,2.284
Isaiah Wong,CHO,20,265,12,1.63
Marvin Bagley III,2TM,31,265,13,1.766
Marvin Bagley III,WAS,19,166,9,1.952
Marvin Bagley III,MEM,12,99,4,1.455
Oscar Tshiebwe,UTA,14,255,12,1.694
Drew Timme,BRK,9,254,14,1.984
Marcus Bagley,PHI,10,253,12,1.708
Cam Spencer,MEM,25,252,8,1.143
Kevin Love,MIA,23,251,16,2.295
Pat Spencer,GSW,39,250,10,1.44
JT Thor,2TM,20,249,10,1.446
JT Thor,CLE,9,42,2,1.714
JT Thor,WAS,11,207,8,1.391
Branden Carlson,OKC,32,246,17,2.488
Dariq Whitehead,BRK,20,246,16,2.341
Johnny Davis,WAS,34,242,10,1.488
Jaylen Martin,2TM,16,239,8,1.205
Jaylen Martin,BRK,3,5,1,7.2
Jaylen Martin,WAS,13,234,7,1.077
Bones Hyland,2TM,24,239,17,2.561
Bones Hyland,LAC,20,222,16,2.595
Bones Hyland,MIN,4,17,1,2.118
Xavier Tillman Sr.,BOS,33,231,14,2.182
Garrett Temple,TOR,28,227,14,2.22
Jared Rhoden,2TM,14,227,10,1.586
Jared Rhoden,CHO,4,12,0,0.0
Jared Rhoden,TOR,10,215,10,1.674
